id	name
1	otenzepad
2	oxotremorine
3	piracetam
4	MRE-269
5	RDR-01440SC
6	vecuronium
7	hexestrol
8	vigabatrin
9	YL-59
10	Broad-Sai-609
11	nicotine
12	BG-1013
13	cromoglicic-acid
14	EMF-sumo1-8
15	genipin
16	ibudilast
17	danazol
18	nifekalant
19	cetraxate
20	xylazine
21	chlormezanone
22	eserine
23	tegaserod
24	cefotiam
25	carbenoxolone
26	aflatoxin-b1
27	bisphenol-a
28	CH-223191
29	scriptaid
30	aspirin
31	roxarsone
32	MW-STK33-1A
33	SB-205607
34	norgestimate
35	diphenylpyraline
36	oxiconazole
37	KU-C104230
38	dimaprit
39	triamcinolone
40	cloxacillin
41	sorafenib
42	AG-99
43	etodolac
44	isoprenaline
45	norethindrone
46	AT-9283
47	closantel
48	n-nitrosodiethylamine
49	dichlorodiamine-platinum
50	ivermectin
51	zibotentan
52	urethane
53	BML-286
54	SR-48692
55	avrainvillamide-analog-4
56	spiramycin
57	bietaserpine
58	bacitracin
59	KU-C104248
60	metrifonate
61	cytochalasin-d
62	labetalol
63	clobetasol
64	kaempferol
65	pravastatin
66	KU-C103656
67	butyrolactone
68	nifuroxazide
69	calpeptin
70	bosentan
71	adrenosterone
72	mebeverine
73	tyrphostin-AG-1288
74	strychnine
75	thiocolchicoside
76	3,6-dimethoxyflavone
77	cadmium-chloride
78	pempidine
79	chlorotrianisene
80	butamben
81	rimexolone
82	felodipine
83	beclometasone
84	oxymetholone
85	clopidogrel
86	halofantrine
87	BG-1032
88	phenylpropanolamine
89	simvastatin
90	fenspiride
91	KM-03949SC
92	trichlormethiazide
93	rifapentine
94	sulfamethoxazole
95	benzydamine
96	cilostamide
97	meglumine
98	ST-014147
99	fosfosal
100	loracarbef
101	MK-801
102	ketoconazole
103	KU-C104140
104	PRIMA1
105	isoflupredone
106	dictamnine
107	proglumide
108	mephenesin
109	KDM-103
110	tribenoside
111	clavulanic-acid
112	cuneatin
113	corticosterone
114	deforolimus
115	KU-C104224
116	cyclopentolate
117	clomifene
118	dropropizine
119	merbromin
120	pitavastatin
121	decitabine
122	dexamethasone
123	deoxycholic-acid
124	clenbuterol
125	ellagic-acid
126	dicyclohexylurea
127	rifabutin
128	diethyltoluamide
129	amphotericin-b
130	KU-C104233
131	docetaxel
132	protriptyline
133	nafcilline
134	levothyroxine
135	calcitriol
136	dihydroptaeroxylin
137	harmine
138	dihydrorobustic-acid
139	BG-1029
140	diloxanide
141	tetracycline
142	edrophonium
143	dantrolene
144	equilin
145	psoromic-acid
146	ST-014075
147	epitestosterone
148	fluvoxamine
149	isosorbide
150	sulfamethizole
151	A-23187
152	minocycline
153	eicosatetraynoic-acid
154	etamivan
155	sulfachlorpyridazine
156	etoposide
157	2-(4-methoxybenzylthio)-6-methylpyrimidin-4-ol
158	farnesol
159	CGP-53353
160	febuxostat
161	fexofenadine
162	alprazolam
163	mevastatin
164	FG-7142
165	reboxetine
166	FGIN-1-43
167	2-aminobenzenesulfonamide
168	chlortetracycline
169	YL-52
170	estriol
171	flumetasone
172	guanfacine
173	calcifediol
174	picrotoxin
175	eugenol
176	oxyphenonium
177	JAS07-007
178	L-744832
179	cytarabine
180	adapalene
181	fluvastatin
182	indinavir
183	plerixafor
184	fraxidin
185	naproxen
186	halometasone
187	acetyl-farnesyl-cysteine
188	exemestane
189	farnesylcysteine-methyl-ester
190	actarit
191	acetyl-geranygeranyl-cysteine
192	ganglioside
193	glycopyrrolate
194	gossypol
195	dopamine
196	CP-94253
197	GR-206
198	GTP-14564
199	guggulsterone
200	RJC-00245SC
201	streptozotocin
202	H-89
203	levalbuterol
204	KUC103898N
205	H-9
206	meclozine
207	HA-1004
208	HA-14-1
209	fluocinolone
210	tetramethyl-haematoxylone
211	theobromine
212	hemicholinium-3
213	BG-1005
214	herniarin
215	hexylresorcinol
216	HO-013
217	hydralazine
218	methylprednisolone
219	hydroxycholesterol
220	hydrastine
221	ethinyl-estradiol
222	nomilin
223	edaravone
224	dacarbazine
225	n-bromoacetyltryptamine
226	hydrocortisone
227	metacycline
228	ON-01910
229	ouabain
230	deptropine
231	hydroquinidine
232	Ac-Leu-Leu-Nle-CHO
233	hyoscyamine
234	I-OMe-AG-538
235	pyrithyldione
236	plumbagin
237	IBC-293
238	ichthynone
239	imperatorin
240	etretinate
241	BAS-02859604
242	isoreserpine
243	tert-butylhydroquinone
244	isoxsuprine
245	bufexamac
246	JAK3-inhibitor-I
247	ethaverine
248	lanatoside-c
249	JLK-6
250	KB-R7943
251	procyclidine
252	sulpiride
253	olopatadine
254	GSK-3-inhibitor-II
255	cefuroxime
256	KN-93
257	III606050
258	ethisterone
259	kynuramine
260	astemizole
261	levisoprenaline
262	L-670596
263	L-741626
264	L-741742
265	alfaxalone
266	VU-0365114-2
267	L-745870
268	salsolidine
269	SB-206553
270	lavendustin-a
271	lawsone
272	piromidic-acid
273	leoidin
274	leu-enkephalin
275	acepromazine
276	lithocholic-acid
277	WAY-262611
278	lobaric-acid
279	lofexidine
280	chenodeoxycholic-acid
281	luteolin
282	LY-288513
283	troleandomycin
284	EHNA
285	SB-239063
286	D-64406
287	malonoben
288	parthenolide
289	cyproheptadine
290	GW-441756
291	proguanil
292	brivanib
293	ST-4075437
294	MDM2-inhibitor
295	mead-ethanolamide
296	medrysone
297	RU-28318
298	androsterone
299	mesalazine
300	KU-C104123
301	mesna
302	mestinon
303	piperacillin
304	mestranol
305	triptolide
306	methiazole
307	GW-5074
308	avrainvillamide-analog-3
309	methimazole
310	methotrexate
311	quipazine
312	methysergide
313	ochratoxin-a
314	mianserin
315	loteprednol
316	mifepristone
317	ML-7
318	ML-9
319	monastrol
320	chlorpromazine
321	KU-C104337
322	spermidine
323	digoxin
324	pentetic-acid
325	olmesartan
326	desmethylclozapine
327	nalbuphine
328	naloxone
329	baeomycesic-acid
330	efavirenz
331	latamoxef
332	naphazoline
333	SD-6-035-A8
334	nefopam
335	niflumic-acid
336	NNC-711
337	mecillinam
338	nomifensine
339	BG-1006
340	tetraethylenepentamine
341	nonoxynol-9
342	sulfapyridine
343	balsalazide
344	norethisterone
345	noretynodrel
346	paracetamol
347	norgestrel
348	nortriptyline
349	noscapine
350	dihydroobliquin
351	olanzapine
352	diphenoxylate
353	olomoucine
354	daidzein
355	orphenadrine
356	cyclobenzaprine
357	anandamide
358	oxindole-I
359	parachlorophenol
360	pargyline
361	avrainvillamide-analog-2
362	PD-158780
363	oxolamine
364	PD-168077
365	BML-284
366	penicillic-acid
367	pentoxyverine
368	cyproterone
369	imipenem
370	PETCM
371	vinblastine
372	pheniramine
373	phentolamine
374	gallamine
375	cholic-acid
376	phenylalanyltyrosine
377	phenylbutyrate
378	piceid
379	piceatannol
380	pilocarpine
381	acetazolamide
382	pinacidil
383	piperidolate
384	oxandrolone
385	IQ1
386	pirenzepine
387	CHEMBL-399379
388	PIT
389	dimethadione
390	PNU-120596
391	dexketoprofen
392	PNU-22394
393	opipramol
394	naftifine
395	PP-1
396	pramipexole
397	acefylline
398	pregnenolone
399	tacrolimus
400	sulbactam
401	HTS-12264SC
402	6-hydroxytropinone
403	tolnaftate
404	prilocaine
405	primaquine
406	solifenacin
407	promazine
408	reserpine
409	enalapril
410	promethazine
411	mepyramine
412	pyrrolidine-dithiocarbamate
413	quercetagetin
414	atenolol
415	quinapril
416	tetracaine
417	sulfaguanidine
418	quinidine
419	amcinonide
420	QX-222
421	tranylcypromine
422	QX-314
423	SD-6-035-A7
424	R-59022
425	rabeprazole
426	betulinic-acid
427	racephedrine
428	ranitidine
429	M-344
430	retinyl
431	REV-5901
432	RG-13022
433	SD-8-005
434	artemisinin
435	rhamnetin
436	YL-53
437	huperzine-a
438	RHC-80267
439	rhizocarpic-acid
440	auranofin
441	RHO-kinase-inhibitor-II
442	tyloxapol
443	tolazoline
444	rhodomyrtoxin
445	rilmenidine
446	ritodrine
447	GR-55562
448	benzyl-quinazolin-4-yl-amine
449	pramocaine
450	RO-15-4513
451	methyl-benzethonium
452	acetylsalicylsalicylic-acid
453	RO-60-0175
454	ropinirole
455	cephalotaxine
456	rosmarinic-acid
457	alosetron
458	rotenonic-acid
459	roxatidine
460	KU-C103672
461	BG-1025
462	RS-102895
463	RS-45041-190
464	fluocinonide
465	RS-56812
466	RU-24969
467	progesterone
468	S-14506
469	lysylphenylalanyl-tyrosine
470	safrolglycol
471	nifenazone
472	salbutamol
473	BL003-049-HDAC3
474	salvinorin-a
475	SB-203186
476	ST-4042556
477	BG-1001
478	SB-218795
479	SB-222200
480	floxuridine
481	SB-269970
482	nalidixic-acid
483	BX-795
484	SB-408124
485	BG-1004
486	SB-415286
487	prostaglandin-e1
488	scopolamine
489	scopoline
490	SDZ-205-557
491	anethole
492	selegiline
493	sibutramine
494	cefmetazole
495	sildenafil
496	penicillin
497	sinensetin
498	methyldopa
499	sitagliptin
500	dorzolamide
501	skatole
502	SD-6-035-B2
503	SKF-86002
504	SKF-89976A
505	SKF-96365
506	SQ-22536
507	gabazine
508	SSR-69071
509	EMF-sumo1-7
510	ST-91
511	BIBU-1361
512	PIK-75
513	lincomycin
514	STO-609
515	SU-1498
516	SU-4312
517	clarithromycin
518	benazepril
519	sulfasalazine
520	sulindac
521	sumatriptan
522	GR-113808
523	SYK-inhibitor
524	synephrine
525	tolfenamic-acid
526	KU-C104491
527	tangeritin
528	taurocholic-acid
529	avrainvillamide-analog-6
530	TCB2
531	7,4'-dihydroxyflavone
532	hycanthone
533	TER-14687
534	terreic-acid
535	testosterone
536	pentachlorophenol
537	tetramisole
538	flupirtine
539	theophylline
540	thiorphan
541	purvalanol-a
542	PAC-1
543	tropisetron
544	thiostrepton
545	thiothixene
546	tosufloxacin
547	totaralolal
548	ethionamide
549	tramadol
550	KU-C103871
551	demecarium
552	ritonavir
553	triprolidine
554	erythromycin
555	BG-1031
556	diphencyprone
557	TTNPB
558	tyrphostin-AG-825
559	tyrphostin-47
560	BG-1026
561	BIIB021
562	U-0124
563	U-0126
564	zeranol
565	U0126
566	U-99194
567	cefazolin
568	chlorhexidine
569	UBP-302
570	penitrem-a
571	valaciclovir
572	josamycin
573	vardenafil
574	vidarabine
575	cefdinir
576	dirithromycin
577	W-13
578	aprepitant
579	WAY-170523
580	WAY-213613
581	acetohexamide
582	coumaric-acid
583	WR-216174
584	niridazole
585	xanthoxyline
586	Y-27632
587	cycloserine
588	YM-298198
589	cortisol
590	yohimbine
591	benzoic-acid
592	YS-035
593	ZD-7288
594	carbofuran
595	TNP-470
596	ZK-756326
597	MK-5108
598	ZM-306416
599	ZM-39923
600	nitrofural
601	ZM-447439
602	indirubin
603	formoterol
604	trehalose
605	Z-36
606	carbaryl
607	monobenzone
608	canrenoic-acid
609	cefixime
610	tolterodine
611	elvitegravir
612	suberoyl-bis-hydroxamic-acid
613	etoricoxib
614	pivmecillinam
615	dienestrol
616	digoxigenin
617	benzylpenicillin
618	sulfadoxine
619	abiraterone
620	monensin
621	tenoxicam
622	AM-404
623	YL-61
624	isonicotinohydroxamic-acid
625	ST-022313
626	CO-101244
627	topotecan
628	diaminoquinazoline
629	antimycin-a
630	methyl-hydantoin
631	avrainvillamide-analog-5
632	NSC-94258
633	chicago-sky-blue-6b
634	BMS-182874
635	MD-041
636	ethoxyquin
637	guanabenz
638	oxetacaine
639	puromycin
640	z-guggulsterone
641	sertraline
642	moroxydine
643	tiapride
644	AZD-1480
645	colistin
646	asenapine
647	YL-54
648	ST-059620
649	dexfenfluramine
650	cefepime
651	JPR-3-97-17
652	flurandrenolide
653	dizocilpine
654	oxybenzone
655	cisapride
656	NCI-16221
657	KUC103423N
658	finasteride
659	vindesine
660	benzohydroxamic-acid
661	gestrinone
662	digitoxin
663	ceftazidime
664	atractyloside
665	sulfabenzamide
666	megestrol
667	tiagabine
668	BG-1017
669	ribavirin
670	nelfinavir
671	podophyllotoxin
672	ARG-CSC-26
673	idelalisib
674	KU-C103654
675	tiratricol
676	daphnetin
677	pralidoxime
678	deguelin
679	thiomersal
680	avrainvillamide-analog-1
681	ethosuximide
682	7b-cis
683	KU-C104227
684	fluticasone
685	dapsone
686	ranolazine
687	gabapentin
688	C2-dihydroceramide
689	6-benzylaminopurine
690	sphingosine
691	urosiol
692	pyrantel
693	farnesylthioacetic-acid
694	eriodictyol
695	norcyclobenzaprine
696	cefadroxil
697	toremifene
698	T-0156
699	bufalin
700	acipimox
701	mycophenolic-acid
702	biotin
703	estradiol-benzoate
704	AS-604850
705	dihydrosamidin
706	etifenin
707	GW-4064
708	CFM-1571
709	SEW-05685
710	heliomycin
711	apicidin
712	phthalylsulfathiazole
713	JNJ-16259685
714	homosalate
715	acetyl-geranyl-cysteine
716	KU-C104135
717	XMD-885
718	ispinesib
719	aminocaproic-acid
720	BG-1007
721	cephalosporanic-acid
722	meprylcaine
723	anthothecol
724	aminohippuric-acid
725	diphenyleneiodonium
726	oxantel
727	afatinib
728	losartan
729	itraconazole
730	amuvatinib
731	moxifloxacin
732	WZ-7043
733	pifithrin-alpha
734	oleoylethanolamide
735	luzindole
736	altretamine
737	adipiodone
738	SB-431542
739	ST-4029655
740	tyrphostin-AG-126
741	acemetacin
742	haloperidol
743	SEW-00445
744	spironolactone
745	lisinopril
746	esatenolol
747	CGS-20625
748	terbinafine
749	glycodeoxycholic-acid
750	brimonidine
751	KM-03472SC
752	ampicillin
753	ENMD-2076
754	aceclofenac
755	deracoxib
756	ACDPP
757	mercaptopurine
758	benzatropine
759	diprotin-a
760	VU-0418939-2
761	sertindole
762	diacerein
763	pivampicillin
764	idarubicin
765	curcumin
766	atorvastatin
767	estrone
768	WAY-100635
769	ISOX
770	saquinavir
771	vatalanib
772	escitalopram
773	suramin
774	amantadine
775	aripiprazole
776	prednisolone
777	estropipate
778	staurosporine
779	oligomycin-a
780	zosuquidar
781	dactinomycin
782	phenindione
783	trazodone
784	BIBX-1382
785	cefoxitin
786	neomycin
787	masitinib
788	etamsylate
789	sulfadimethoxine
790	sulfaquinoxaline
791	YL-55
792	PSB-06126
793	ST-012525
794	butalbital
795	clobenpropit
796	halcinonide
797	diclofenamide
798	nomegestrol
799	triflusal
800	dihydroergotamine
801	ST-019365
802	fludarabine
803	dyclonine
804	clodronic-acid
805	QL-X-138
806	benzethonium
807	arcyriaflavin-a
808	bromocriptine
809	diazoxide
810	DAC-004
811	WZ-3146
812	levobunolol
813	quinisocaine
814	purmorphamine
815	azlocillin
816	etofenamate
817	nizatidine
818	F-1061-0166
819	F-1566-0341
820	JFD02227
821	cinacalcet
822	KM-03439
823	amifostine
824	BI-78D3
825	elesclomol
826	ST-012015
827	doramapimod
828	ST-024029
829	ST-4039884
830	ergocryptine
831	ST-4070043
832	TCPOBOP
833	azithromycin
834	pazopanib
835	meropenem
836	STK-674938
837	APHA-compound-8
838	WT-171
839	vincristine
840	YM-09151-2
841	cinnarizine
842	carbachol
843	procainamide
844	alisertib
845	SAR-245409
846	prothionamide
847	benzocaine
848	valsartan
849	tioguanine
850	KU-C104132
851	iopamidol
852	pizotifen
853	cefotaxime
854	itdac-1
855	phenazopyridine
856	eseroline
857	fraxetin
858	idoxuridine
859	HNHA
860	nicergoline
861	RS-17053
862	CHIR-99021
863	VU-0418947-2
864	WYE-354
865	reversine
866	carbadox
867	xanthohumol
868	etomoxir
869	dequalinium
870	hydroxyfasudil
871	forskolin
872	YL-51
873	I-606061
874	prednisone
875	entinostat
876	fluspirilene
877	enoxacin
878	NNC-55-0396
879	osthol
880	RO-3306
881	lonidamine
882	bromperidol
883	MLN-2238
884	BG-1009
885	leflunomide
886	carbidopa
887	suxibuzone
888	austricine
889	CGP-60474
890	dibenzepin
891	stanozolol
892	indolophenanthridine
893	PSB-069
894	TH02453-036-P1
895	benperidol
896	cyclizine
897	thiamphenicol
898	PF-543
899	ST-057710
900	cortisone
901	epiandrosterone
902	navitoclax
903	DY-44
904	aminosalicylic-acid
905	acetaldehyde
906	cephaeline
907	gliquidone
908	triciribine
909	KB188-III-56
910	nikkomycin
911	STK-397047
912	cantharidin
913	PATI-1-2-3
914	lavendustin-c
915	RS-I-002-6
916	RO-19-4605
917	UGISS-451
918	triacetylresveratrol
919	repaglinide
920	lenalidomide
921	cefsulodin
922	chlorprothixene
923	cerivastatin
924	tanespimycin
925	DM-55-3
926	nicotinyl-alcohol-tartrate
927	flumethasone
928	VX-222
929	scandenin
930	clocortolone
931	cymarin
932	asiatic-acid
933	BG-1011
934	medroxyprogesterone
935	dicoumarol
936	propofol
937	anisomycin
938	desloratadine
939	ST-4066738
940	thiazolopyrimidine
941	ricinine
942	dipropyl-dopamine
943	JS-K
944	loratadine
945	IWP-2
946	rosuvastatin
947	etofylline
948	6-nitrodopamine
949	chloropyramine
950	6-nitronorepinephrine
951	MD-040
952	blebbistatin
953	ABC-294640
954	BG-FA-0953
955	a-disintegrin-and-metalloproteinase
956	AGK-2
957	pirarubicin
958	JNJ-26854165
959	AKT-inhibitor-1-2
960	alpha-tocopherol
961	YL-62
962	alvespimycin
963	aminoresveratrol
964	CG-930
