id	name	disease_id
1	Acne.1	1
2	Acne.2NS	1
3	FamilialHemophagocyticLymphohistiocytosis.1	2
4	FamilialHemophagocyticLymphohistiocytosis^^Cluster_of_size_1_3	2
5	FamilialHemophagocyticLymphohistiocytosis.2NS	2
6	AcuteAtopicDermatitis.1NS	3
7	AcuteAtopicDermatitis.2NS	3
8	AcuteMyeloidLeukemia.2NS	4
9	AcuteMyeloidLeukemia.1NS	4
10	AcuteMyocardialInfarction.4	5
11	AcuteMyocardialInfarction.2NS	5
12	AcuteMyocardialInfarction.1NSNS	5
13	AcuteMyocardialInfarction.3NS	5
14	AdrenocorticalCarcinoma.1	6
15	AdrenocorticalCarcinoma.2NS	6
16	AcuteTcellLeukemia^^Cluster_of_size_1_3	7
17	AcuteTcellLeukemia^^Cluster_of_size_1_4	7
18	AcuteTcellLeukemia.5NS	7
19	AcuteTcellLeukemia^^Cluster_of_size_1_1	7
20	AcuteTcellLeukemia.2NS	7
21	Ageing.1NS	8
22	Ageing.2	8
23	AlcoholicHepatitis^^Cluster_of_size_1_3	9
24	AlcoholicHepatitis.1NS	9
25	AlcoholicHepatitis.4	9
26	AlcoholicHepatitis.2NS	9
27	AlcoholicHepatitis^^Cluster_of_size_1_5	9
28	Alopecia.1NS	10
29	Alopecia^^Cluster_of_size_1_2	10
30	AlzheimersDisease.21	11
31	AlzheimersDisease.8	11
32	AlzheimersDisease.18NS	11
33	AlzheimersDisease.26	11
34	AlzheimersDisease.10NS	11
35	AlzheimersDisease.17	11
36	AlzheimersDisease.15NS	11
37	AlzheimersDisease.16	11
38	AlzheimersDisease.23NS	11
39	AlzheimersDisease.31	11
40	AlzheimersDisease.9	11
41	AlzheimersDisease.27	11
42	AlzheimersDisease.30	11
43	AlzheimersDisease.25NS	11
44	AlzheimersDisease.14	11
45	AlzheimersDisease.33	11
46	AlzheimersDisease.13NS	11
47	AlzheimersDisease.19	11
48	AlzheimersDisease.22	11
49	AlzheimersDisease.24	11
50	AlzheimersDisease.28	11
51	AlzheimersDisease.20	11
52	AlzheimersDisease.6	11
53	AlzheimersDisease.3	11
54	AlzheimersDisease.35	11
55	AlzheimersDisease.5	11
56	AlzheimersDisease.11	11
57	AlzheimersDisease.32	11
58	AlzheimersDisease.12	11
59	AlzheimersDisease.29	11
60	AlzheimersDisease.4	11
61	AlzheimersDisease.34	11
62	AlzheimersDisease.7	11
63	AlzheimersDisease.2	11
64	AlzheimersDisease.1	11
65	AmyotrophicLateralSclerosis.2NS	12
66	AmyotrophicLateralSclerosis.1NS	12
67	ANCACrescenticGlomerulonephritis.1NS	13
68	ANCACrescenticGlomerulonephritis.2NS	13
69	AphthousStomatitis.4NS	14
70	AphthousStomatitis.3	14
71	AphthousStomatitis.1NS	14
72	AphthousStomatitis.2NS	14
73	ArrhythmogenicRightVentricularCardiomyopathy.5	15
74	ArrhythmogenicRightVentricularCardiomyopathy.2	15
75	ArrhythmogenicRightVentricularCardiomyopathy.1NS	15
76	ArrhythmogenicRightVentricularCardiomyopathy^^Cluster_of_size_1_6	15
77	ArrhythmogenicRightVentricularCardiomyopathy^^Cluster_of_size_1_3	15
78	ArrhythmogenicRightVentricularCardiomyopathy.4NS	15
79	ArrhythmogenicRightVentricularCardiomyopathy.7NS	15
80	Asthma.54	16
81	Asthma.43	16
82	Asthma^^Cluster_of_size_1_13	16
83	Asthma.34	16
84	Asthma.65	16
85	Asthma.36NS	16
86	Asthma.9NS	16
87	Asthma.60NS	16
88	Asthma.67	16
89	Asthma.49NS	16
90	Asthma.73	16
91	Asthma.48	16
92	Asthma.42	16
93	Asthma^^Cluster_of_size_1_20	16
94	Asthma.46	16
95	Asthma.50	16
96	Asthma.26NS	16
97	Asthma.28	16
98	Asthma.4	16
99	Asthma.61	16
100	Asthma.6	16
101	Asthma.5	16
102	Asthma.76	16
103	Asthma.3	16
104	Asthma^^Cluster_of_size_1_33	16
105	Asthma^^Cluster_of_size_1_44	16
106	Asthma^^Cluster_of_size_1_21	16
107	Asthma^^Cluster_of_size_1_77	16
108	Asthma.27	16
109	Asthma.15	16
110	Asthma^^Cluster_of_size_1_24	16
111	Asthma.58	16
112	Asthma.55	16
113	Asthma.30	16
114	Asthma.69NS	16
115	Asthma.47NS	16
116	Asthma.59	16
117	Asthma.2	16
118	Asthma.22NS	16
119	Asthma.19	16
120	Asthma^^Cluster_of_size_1_68	16
121	Asthma.45	16
122	Asthma^^Cluster_of_size_1_41	16
123	Asthma.31NS	16
124	Asthma.29NS	16
125	Asthma.56NS	16
126	Asthma.52NS	16
127	Asthma.39NS	16
128	Asthma^^Cluster_of_size_1_1	16
129	Asthma.17	16
130	Asthma.51	16
131	Asthma.74	16
132	Asthma.16	16
133	Asthma.7	16
134	Asthma.66	16
135	Asthma.57	16
136	Asthma.72	16
137	Asthma.71	16
138	Asthma.18	16
139	Asthma.11	16
140	Asthma.38	16
141	Asthma.40	16
142	Asthma.53	16
143	Asthma.14	16
144	Asthma.64	16
145	Asthma.8	16
146	Asthma.10	16
147	Asthma^^Cluster_of_size_1_25	16
148	Asthma.23	16
149	Asthma.37	16
150	Asthma^^Cluster_of_size_1_12	16
151	Asthma.62	16
152	Asthma.35	16
153	Asthma.32	16
154	Asthma^^Cluster_of_size_1_75	16
155	Asthma^^Cluster_of_size_1_63	16
156	Asthma^^Cluster_of_size_1_70	16
157	Astrocytoma^^Cluster_of_size_1_48	17
158	Astrocytoma.11NS	17
159	Astrocytoma.16	17
160	Astrocytoma.44NS	17
161	Astrocytoma.37NS	17
162	Astrocytoma.24NS	17
163	Astrocytoma.45	17
164	Astrocytoma.28	17
165	Astrocytoma.30NS	17
166	Astrocytoma.29	17
167	Astrocytoma.38NSNS	17
168	Astrocytoma.33NS	17
169	Astrocytoma.39NS	17
170	Astrocytoma^^Cluster_of_size_1_42	17
171	Astrocytoma.15NS	17
172	Astrocytoma.22	17
173	Astrocytoma.46NS	17
174	Astrocytoma.23	17
175	Astrocytoma.31NS	17
176	Astrocytoma.9	17
177	Astrocytoma.10NS	17
178	Astrocytoma.32NSNS	17
179	Astrocytoma.13	17
180	Astrocytoma.17	17
181	Astrocytoma^^Cluster_of_size_1_36	17
