id	patient_subgroup_a_id	patient_subgroup_b_id	relative_risk
1	1	3	2.48267435303004
2	3	1	5.67838589761702
3	10	1	1.00770351825599
4	1	25	3.33729235223996
5	25	1	5.0544111709921
6	1	70	3.50406816923477
7	70	1	8.50404652375954
8	1	102	1.16964479472931
9	102	1	7.85909002868516
10	1	103	2.43255745213721
11	103	1	6.57938762339118
12	111	1	1.38520847625544
13	1	112	3.98302208979351
14	112	1	11.3374595252189
15	132	1	1.90168048868419
16	1	179	1.03247843755394
17	180	1	1.06516918646985
18	1	206	1.47333949314643
19	206	1	4.82725789671273
20	1	207	5.08832820371804
21	207	1	5.13993763910021
22	244	1	1.70155747173487
23	252	1	1.17305423356079
24	277	1	4.78303250170318
25	304	1	6.49503757228339
26	1	309	4.6341141252836
27	309	1	8.83543559736792
28	1	310	1.61887632739855
29	310	1	6.14170721882212
30	1	324	1.52776020210094
31	324	1	4.70006633004239
32	1	347	2.85195825158874
33	347	1	5.98725572946898
34	1	348	1.78848674009709
35	348	1	3.5486704325762
36	1	351	1.74219323841638
37	351	1	1.95619109479814
38	357	1	6.0251448690092
39	1	361	3.35356569078314
40	361	1	3.18067232354248
41	1	363	1.82862478999207
42	363	1	1.41942565546254
43	1	364	2.73667161215558
44	364	1	2.25584634939843
45	1	366	5.83118113806573
46	366	1	5.70043072811491
47	1	368	6.68388191023351
48	368	1	9.9189938552347
49	1	369	1.57854936001633
50	369	1	3.2065877422409
51	1	370	1.2914241374806
52	370	1	1.47779111764936
53	1	372	5.46780002428173
54	372	1	9.01970622882789
55	381	1	1.84350133199909
56	1	382	4.09947429597298
57	382	1	15.9368500594635
58	402	1	1.69711058912801
59	1	404	4.09947429597298
60	404	1	4.51404887282609
61	1	448	1.16964479472931
62	448	1	1.61344561485161
63	1	472	3.43107427665694
64	472	1	2.55539924073572
65	1	471	1.43313254287209
66	471	1	1.67167886340851
67	1	520	1.16964479472931
68	1	522	1.16964479472931
69	1	525	3.24440475380316
70	525	1	2.37088887301275
71	1	526	1.52776020210094
72	526	1	1.10860559514419
73	1	519	5.09281087890624
74	519	1	3.44028419247744
75	1	530	1.16964479472931
76	1	540	1.78848674009709
77	540	1	2.08274583216619
78	1	541	4.09947429597298
79	541	1	3.18644619172191
80	1	543	5.09281087890624
81	543	1	3.58603857008135
82	550	1	1.45559825200232
83	1	557	5.25055027097327
84	557	1	3.58123357225875
85	1	566	1.31879808178634
86	566	1	1.20111644283833
87	1	582	6.64736116471778
88	582	1	6.80690731337851
89	587	1	1.68929009087976
90	588	1	15.4431775867965
91	598	1	6.40676198167079
92	610	1	11.490063995014
93	1	607	1.78848674009709
94	607	1	9.54291152959937
95	613	1	2.07425758588478
96	1	614	1.16964479472931
97	614	1	1.70575540577328
98	1	619	4.57291980239734
99	619	1	7.71387514382062
100	1	624	2.08158861774579
101	624	1	3.40142538656383
102	1	625	5.83118113806573
103	625	1	5.26078431370368
104	1	623	5.63397689395097
105	623	1	6.41995159039028
106	1	662	1.52776020210094
107	662	1	7.85142718091829
108	1	664	1.46983059185293
109	664	1	6.29707534332909
110	1	666	3.65893252555519
111	666	1	13.4904272481023
112	673	1	1.12769846786637
113	677	1	4.25895823164323
114	1	750	1.16964479472931
115	1	822	1.58909888569751
116	822	1	6.38384996134999
117	1	825	1.88767906944766
118	825	1	2.59040255637848
119	1	828	2.17610657185144
120	828	1	1.29287241776023
121	1	829	4.41149534074091
122	829	1	2.39113427423052
123	1	834	1.21886204364439
124	1	837	1.12199295062289
125	1	838	1.10634839790897
126	1	865	1.57764907281294
127	1	877	2.12496781237238
128	877	1	1.23580461541731
129	1	910	1.41670134593245
130	1	915	1.25952463204245
131	933	1	1.48362858110511
132	1	936	2.47925695611416
133	936	1	1.93670808426209
134	951	1	1.37183062867715
135	949	1	1.70509768699662
136	1	1018	1.78848674009709
137	1018	1	1.69801921779617
138	1	1015	1.78848674009709
139	1015	1	1.93724453187126
140	1	1024	1.78848674009709
141	1024	1	2.87431460871663
142	1	1027	2.47925695611416
143	1027	1	2.59621700081984
144	1	1043	6.86487950221128
145	1043	1	5.07873447324935
146	1	1044	6.10369742478908
147	1044	1	6.48565008339557
148	1	1045	5.72185365043443
149	1045	1	6.59583173436823
150	1	1047	5.62534345106806
151	1047	1	5.31924375787835
152	1	1048	4.71600195852854
153	1048	1	4.48918180813911
154	1	1054	3.24440475380316
155	1054	1	5.87813391550823
156	1055	1	1.02127706689668
157	1057	1	1.96179917413943
158	1	1058	5.09281087890624
159	1058	1	5.87525832936256
160	1	1060	6.62327416110886
161	1060	1	7.04476209367529
162	1	1059	5.6934816061541
163	1059	1	6.9211822062789
164	1	1063	6.62327416110886
165	1063	1	7.07714067954796
166	1	1066	4.09947429597298
167	1066	1	5.68488904201598
168	1	1068	5.09281087890624
169	1068	1	5.30926155776412
170	1	1071	4.42211398558852
171	1071	1	8.12141254053663
172	1	1089	5.09281087890624
173	1089	1	13.0697493438325
174	1111	1	2.004268631366
175	1140	1	2.78437503325308
176	1	1146	1.10793652806953
177	1146	1	3.86672959085779
178	1154	1	1.58159462989058
179	1182	1	3.02780740245944
180	1185	1	1.39955636966924
181	1	1188	3.24440475380316
182	1188	1	6.30158744316789
183	1	1203	3.65893252555519
184	1203	1	8.6646963821803
185	1215	1	2.00174280137078
186	1	1225	4.57291980239734
