id	patient_subgroup_id	drug_id	regulation_sign
1	1050	1109	1
2	1050	1119	1
3	1050	1816	1
4	1050	2215	1
5	1050	2365	1
6	1050	2831	1
7	1050	2867	1
8	1050	3047	1
9	1050	3206	1
10	1050	745	-1
11	1050	924	-1
12	1050	373	-1
13	1050	1295	-1
14	1050	304	-1
15	1050	1390	-1
16	1050	1404	-1
17	1050	1062	-1
18	1050	1449	-1
19	1050	1337	-1
20	1050	1508	-1
21	1050	1513	-1
22	1050	1771	-1
23	1050	2467	-1
24	1050	2511	-1
25	1050	2512	-1
26	1050	3077	-1
27	1050	3163	-1
28	1249	263	1
29	1249	335	1
30	1249	419	1
31	1249	535	1
32	1249	627	1
33	1249	774	1
34	1249	899	1
35	1249	988	1
36	1249	1002	1
37	1249	1067	1
38	1249	1191	1
39	1249	1128	1
40	1249	1350	1
41	1249	1404	1
42	1249	781	1
43	1249	1342	1
44	1249	1388	1
45	1249	1786	1
46	1249	1797	1
47	1249	1802	1
48	1249	888	1
49	1249	1282	1
50	1249	2360	1
51	1249	808	1
52	1249	2685	1
53	1249	2789	1
54	1249	2988	1
55	1249	3016	1
56	1249	3109	1
57	1249	3127	1
58	1249	3173	1
59	1249	3425	1
60	1249	1417	1
61	1249	30	-1
62	1249	148	-1
63	1249	903	-1
64	1249	975	-1
65	1249	495	-1
66	1249	168	-1
67	1249	770	-1
68	1249	773	-1
69	1249	1183	-1
70	1249	1431	-1
71	1249	1467	-1
72	1249	2169	-1
73	1249	2301	-1
74	1249	2318	-1
75	1249	2573	-1
76	1249	2759	-1
77	1249	2772	-1
78	1249	2922	-1
79	1249	3361	-1
80	1249	3398	-1
81	1249	3530	-1
82	1249	3549	-1
83	1267	123	1
84	1267	296	1
85	1267	684	1
86	1267	2390	1
87	1267	201	1
88	1267	1286	-1
89	252	398	1
90	252	576	1
91	252	185	1
92	252	798	1
93	252	937	1
94	252	1208	1
95	252	1238	1
96	252	85	1
97	252	1267	1
98	252	419	1
99	252	1398	1
100	252	1342	1
101	252	1577	1
102	252	1840	1
103	252	2283	1
104	252	2855	1
105	252	1188	1
106	252	1411	1
107	252	1101	1
108	252	49	-1
109	252	58	-1
110	252	125	-1
111	252	151	-1
112	252	255	-1
113	252	316	-1
114	252	531	-1
115	252	679	-1
116	252	984	-1
117	252	1006	-1
118	252	1173	-1
119	252	1297	-1
120	252	802	-1
121	252	1412	-1
122	252	1243	-1
123	252	1782	-1
124	252	2096	-1
125	252	2177	-1
126	252	2238	-1
127	252	2356	-1
128	252	2368	-1
129	252	135	-1
130	252	2690	-1
131	252	2694	-1
132	252	2742	-1
133	252	219	-1
134	252	2803	-1
135	252	1236	-1
136	252	1318	-1
137	252	2854	-1
138	252	1396	-1
139	252	2907	-1
140	252	2974	-1
141	252	488	-1
142	252	3268	-1
143	252	3364	-1
144	252	1413	-1
145	255	2	1
146	255	4	1
147	255	15	1
148	255	25	1
149	255	27	1
150	255	28	1
151	255	41	1
152	255	43	1
153	255	47	1
154	255	69	1
155	255	75	1
156	255	86	1
157	255	101	1
158	255	113	1
159	255	149	1
160	255	152	1
161	255	158	1
162	255	185	1
163	255	223	1
164	255	173	1
165	255	244	1
166	255	247	1
167	255	256	1
168	255	281	1
169	255	286	1
170	255	305	1
171	255	333	1
172	255	347	1
173	255	325	1
174	255	358	1
175	255	371	1
176	255	374	1
177	255	385	1
178	255	413	1
179	255	426	1
180	255	428	1
181	255	431	1
182	255	436	1
183	255	439	1
184	255	446	1
185	255	458	1
186	255	493	1
187	255	502	1
188	255	503	1
189	255	522	1
190	255	523	1
191	255	576	1
192	255	590	1
193	255	595	1
194	255	598	1
195	255	623	1
196	255	638	1
197	255	647	1
198	255	665	1
199	255	677	1
200	255	678	1
201	255	695	1
202	255	716	1
203	255	753	1
204	255	763	1
205	255	799	1
206	255	806	1
207	255	842	1
208	255	871	1
209	255	895	1
210	255	941	1
211	255	959	1
212	255	978	1
213	255	993	1
214	255	998	1
215	255	1001	1
216	255	1017	1
217	255	1018	1
218	255	1029	1
219	255	1048	1
220	255	1052	1
221	255	1070	1
222	255	1105	1
223	255	1124	1
224	255	1143	1
225	255	1151	1
226	255	1169	1
227	255	1172	1
228	255	1192	1
229	255	1198	1
230	255	726	1
231	255	418	1
232	255	1240	1
233	255	1256	1
234	255	1258	1
235	255	1263	1
236	255	1266	1
237	255	1273	1
238	255	1291	1
239	255	419	1
240	255	1316	1
241	255	1321	1
242	255	1336	1
243	255	1338	1
244	255	1356	1
245	255	320	1
246	255	1368	1
247	255	1375	1
248	255	1379	1
249	255	1381	1
250	255	1402	1
251	255	290	1
252	255	1417	1
253	255	33	1
254	255	303	1
255	255	151	1
256	255	357	1
257	255	616	1
258	255	758	1
259	255	1183	1
260	255	1429	1
261	255	1456	1
262	255	1464	1
263	255	1490	1
264	255	1517	1
265	255	552	1
266	255	1541	1
267	255	1222	1
268	255	1555	1
269	255	1561	1
270	255	1567	1
271	255	1580	1
272	255	1582	1
273	255	1600	1
274	255	1654	1
275	255	1664	1
276	255	1704	1
277	255	1736	1
278	255	1214	1
279	255	1770	1
280	255	1779	1
281	255	1802	1
282	255	1804	1
283	255	1819	1
284	255	1830	1
285	255	1834	1
286	255	1840	1
287	255	1857	1
288	255	1885	1
289	255	1886	1
290	255	1893	1
291	255	1915	1
292	255	1924	1
293	255	1925	1
294	255	1929	1
295	255	1963	1
296	255	1980	1
297	255	1992	1
298	255	2013	1
299	255	2023	1
300	255	2034	1
301	255	2048	1
302	255	2049	1
303	255	2054	1
304	255	1366	1
305	255	622	1
306	255	2071	1
307	255	2076	1
308	255	2084	1
309	255	2085	1
310	255	2108	1
311	255	2115	1
312	255	2124	1
313	255	2129	1
314	255	2131	1
315	255	2139	1
316	255	2147	1
317	255	2158	1
318	255	2179	1
319	255	2180	1
320	255	2181	1
321	255	2183	1
322	255	2192	1
323	255	2210	1
324	255	2265	1
325	255	684	1
326	255	2292	1
327	255	2298	1
328	255	2307	1
329	255	653	1
330	255	2335	1
331	255	2338	1
332	255	2359	1
333	255	2362	1
334	255	2419	1
335	255	2457	1
336	255	2462	1
337	255	1397	1
338	255	2471	1
339	255	2474	1
340	255	2475	1
341	255	808	1
342	255	2494	1
343	255	2508	1
344	255	2519	1
345	255	2542	1
346	255	2548	1
347	255	2587	1
348	255	2592	1
349	255	2605	1
350	255	2643	1
351	255	2659	1
352	255	2663	1
353	255	2672	1
354	255	2722	1
355	255	1259	1
356	255	2754	1
357	255	2782	1
358	255	2784	1
359	255	2791	1
360	255	2827	1
361	255	2832	1
362	255	2845	1
363	255	2848	1
364	255	2854	1
365	255	2861	1
366	255	2865	1
367	255	2870	1
368	255	2878	1
369	255	2884	1
370	255	288	1
371	255	1333	1
372	255	2998	1
373	255	3031	1
374	255	3038	1
375	255	3061	1
376	255	3070	1
377	255	3090	1
378	255	3091	1
379	255	3101	1
380	255	3113	1
381	255	3130	1
382	255	3138	1
383	255	3151	1
384	255	3154	1
385	255	3160	1
386	255	3169	1
387	255	3193	1
388	255	3196	1
389	255	3198	1
390	255	3200	1
391	255	1364	1
392	255	3231	1
393	255	962	1
394	255	3248	1
395	255	1209	1
396	255	3277	1
397	255	3314	1
398	255	1394	1
399	255	3326	1
400	255	3329	1
401	255	209	1
402	255	766	1
403	255	1184	1
404	255	3360	1
405	255	3384	1
406	255	3418	1
407	255	3423	1
408	255	3432	1
409	255	1361	1
410	255	3437	1
411	255	3452	1
412	255	163	1
413	255	931	1
414	255	3476	1
415	255	1411	1
416	255	3482	1
417	255	3488	1
418	255	1413	1
419	255	3492	1
420	255	3499	1
421	255	3543	1
422	255	3546	1
423	255	3547	1
424	255	3552	1
425	255	1418	1
426	255	3578	1
427	255	87	-1
428	255	115	-1
429	255	138	-1
430	255	142	-1
431	255	327	-1
432	255	364	-1
433	255	393	-1
434	255	394	-1
435	255	110	-1
436	255	575	-1
437	255	581	-1
438	255	604	-1
439	255	607	-1
440	255	624	-1
441	255	643	-1
442	255	646	-1
443	255	660	-1
444	255	674	-1
445	255	676	-1
446	255	691	-1
447	255	693	-1
448	255	739	-1
449	255	747	-1
450	255	768	-1
451	255	815	-1
452	255	820	-1
453	255	852	-1
454	255	909	-1
455	255	916	-1
456	255	936	-1
457	255	985	-1
458	255	1002	-1
459	255	1055	-1
460	255	1107	-1
461	255	1120	-1
462	255	1175	-1
463	255	1218	-1
464	255	1239	-1
465	255	1276	-1
466	255	543	-1
467	255	776	-1
468	255	1319	-1
469	255	1325	-1
470	255	1173	-1
471	255	1443	-1
472	255	1454	-1
473	255	1492	-1
474	255	1518	-1
475	255	1584	-1
476	255	1599	-1
477	255	1251	-1
478	255	1693	-1
479	255	1322	-1
480	255	1762	-1
481	255	1296	-1
482	255	1791	-1
483	255	1357	-1
484	255	1836	-1
485	255	1867	-1
486	255	1919	-1
487	255	1953	-1
488	255	1985	-1
489	255	2026	-1
490	255	1286	-1
491	255	2080	-1
492	255	2102	-1
493	255	1283	-1
494	255	2140	-1
495	255	2141	-1
496	255	2242	-1
497	255	2278	-1
498	255	2351	-1
499	255	2354	-1
500	255	2361	-1
501	255	2384	-1
502	255	2389	-1
503	255	2410	-1
504	255	2444	-1
505	255	2451	-1
506	255	2493	-1
507	255	2558	-1
508	255	2611	-1
509	255	221	-1
510	255	2633	-1
511	255	2651	-1
512	255	2694	-1
513	255	2713	-1
514	255	2725	-1
515	255	2790	-1
516	255	1330	-1
517	255	1343	-1
518	255	3076	-1
519	255	3078	-1
520	255	1354	-1
521	255	1219	-1
522	255	3234	-1
523	255	3282	-1
524	255	3355	-1
525	255	3401	-1
526	255	549	-1
527	255	3495	-1
528	262	55	1
529	262	69	1
530	262	73	1
531	262	125	1
532	262	191	1
533	262	277	1
534	262	299	1
535	262	359	1
536	262	405	1
537	262	416	1
538	262	439	1
539	262	440	1
540	262	463	1
541	262	470	1
542	262	523	1
543	262	320	1
544	262	570	1
545	262	595	1
546	262	597	1
547	262	628	1
548	262	647	1
549	262	671	1
550	262	677	1
551	262	699	1
552	262	749	1
553	262	751	1
554	262	901	1
555	262	937	1
556	262	992	1
557	262	1016	1
558	262	1158	1
559	262	726	1
560	262	1241	1
561	262	1278	1
562	262	900	1
563	262	1287	1
564	262	135	1
565	262	151	1
566	262	655	1
567	262	758	1
568	262	770	1
569	262	148	1
570	262	1192	1
571	262	1441	1
572	262	1270	1
573	262	1477	1
574	262	1483	1
575	262	1490	1
576	262	1524	1
577	262	1537	1
578	262	1538	1
579	262	1559	1
580	262	1566	1
581	262	1587	1
582	262	1622	1
583	262	1634	1
584	262	1637	1
585	262	382	1
586	262	1703	1
587	262	1254	1
588	262	1414	1
589	262	1756	1
590	262	1802	1
591	262	1809	1
592	262	1936	1
593	262	33	1
594	262	1977	1
595	262	1988	1
596	262	1273	1
597	262	2082	1
598	262	871	1
599	262	2239	1
600	262	2245	1
601	262	2248	1
602	262	2301	1
603	262	2318	1
604	262	2326	1
605	262	349	1
606	262	2372	1
607	262	2373	1
608	262	1328	1
609	262	2492	1
610	262	2522	1
611	262	2530	1
612	262	2544	1
613	262	2565	1
614	262	2593	1
615	262	2599	1
616	262	2603	1
617	262	2645	1
618	262	2657	1
619	262	2683	1
620	262	2695	1
621	262	2740	1
622	262	2759	1
623	262	1316	1
624	262	2865	1
625	262	2877	1
626	262	2897	1
627	262	2903	1
628	262	2906	1
629	262	1329	1
630	262	445	1
631	262	2992	1
632	262	602	1
633	262	3071	1
634	262	345	1
635	262	3141	1
636	262	3182	1
637	262	1361	1
638	262	3209	1
639	262	170	1
640	262	3267	1
641	262	1388	1
642	262	3278	1
643	262	3298	1
644	262	3312	1
645	262	3319	1
646	262	1394	1
647	262	3365	1
648	262	3439	1
649	262	3456	1
650	262	931	1
651	262	3471	1
652	262	1238	1
653	262	3524	1
654	262	3530	1
655	262	3552	1
656	262	1185	1
657	262	3566	1
658	262	36	-1
659	262	146	-1
660	262	215	-1
661	262	234	-1
662	262	242	-1
663	262	346	-1
664	262	367	-1
665	262	379	-1
666	262	391	-1
667	262	444	-1
668	262	475	-1
669	262	518	-1
670	262	524	-1
671	262	526	-1
672	262	661	-1
673	262	730	-1
674	262	804	-1
675	262	816	-1
676	262	875	-1
677	262	910	-1
678	262	969	-1
679	262	1034	-1
680	262	979	-1
681	262	1184	-1
682	262	1291	-1
683	262	808	-1
684	262	543	-1
685	262	195	-1
686	262	1035	-1
687	262	1381	-1
688	262	908	-1
689	262	1390	-1
690	262	1410	-1
691	262	163	-1
692	262	185	-1
693	262	1214	-1
694	262	1422	-1
695	262	399	-1
696	262	437	-1
697	262	1517	-1
698	262	1522	-1
699	262	1244	-1
700	262	1551	-1
701	262	1558	-1
702	262	1352	-1
703	262	1266	-1
704	262	1731	-1
705	262	1797	-1
706	262	1814	-1
707	262	1032	-1
708	262	1919	-1
709	262	1923	-1
710	262	1984	-1
711	262	2063	-1
712	262	2079	-1
713	262	1384	-1
714	262	2124	-1
715	262	2153	-1
716	262	2155	-1
717	262	2180	-1
718	262	2197	-1
719	262	1286	-1
720	262	2286	-1
721	262	2357	-1
722	262	2396	-1
723	262	2401	-1
724	262	2414	-1
725	262	2415	-1
726	262	2422	-1
727	262	2432	-1
728	262	2465	-1
729	262	2471	-1
730	262	1347	-1
731	262	34	-1
732	262	2682	-1
733	262	2692	-1
734	262	1380	-1
735	262	2739	-1
736	262	2793	-1
737	262	2802	-1
738	262	2862	-1
739	262	2890	-1
740	262	2912	-1
741	262	2924	-1
742	262	2940	-1
743	262	2951	-1
744	262	17	-1
745	262	3047	-1
746	262	3146	-1
747	262	3150	-1
748	262	3159	-1
749	262	3160	-1
750	262	3192	-1
751	262	3194	-1
752	262	3197	-1
753	262	3338	-1
754	262	3408	-1
755	262	1237	-1
756	262	3440	-1
757	262	3445	-1
758	262	3463	-1
759	262	3466	-1
760	262	3490	-1
761	262	3509	-1
762	262	1332	-1
763	263	320	1
764	263	628	1
765	263	992	1
766	263	1228	1
767	263	770	1
768	263	1414	1
769	263	2529	1
770	263	2530	1
771	263	2865	1
772	263	1192	1
773	263	36	-1
774	263	391	-1
775	263	727	-1
776	263	875	-1
777	263	910	-1
778	263	1410	-1
779	263	1352	-1
780	263	1760	-1
781	263	2401	-1
782	263	2414	-1
783	263	2415	-1
784	263	2523	-1
785	263	2912	-1
786	263	3047	-1
787	263	3194	-1
788	263	3509	-1
789	264	118	1
790	264	191	1
791	264	523	1
792	264	320	1
793	264	570	1
794	264	749	1
795	264	751	1
796	264	937	1
797	264	992	1
798	264	1042	1
799	264	1158	1
800	264	1228	1
801	264	1287	1
802	264	135	1
803	264	671	1
804	264	1358	1
805	264	95	1
806	264	151	1
807	264	655	1
808	264	770	1
809	264	1420	1
810	264	1192	1
811	264	1559	1
812	264	1609	1
813	264	382	1
814	264	1703	1
815	264	1809	1
816	264	1977	1
817	264	871	1
818	264	2492	1
819	264	2565	1
820	264	2738	1
821	264	2759	1
822	264	2803	1
823	264	2866	1
824	264	2875	1
825	264	2903	1
826	264	2932	1
827	264	3141	1
828	264	3312	1
829	264	1394	1
830	264	3566	1
831	264	36	-1
832	264	215	-1
833	264	233	-1
834	264	234	-1
835	264	242	-1
836	264	391	-1
837	264	475	-1
838	264	670	-1
839	264	910	-1
840	264	543	-1
841	264	1351	-1
842	264	1558	-1
843	264	1797	-1
844	264	1984	-1
845	264	2144	-1
846	264	2401	-1
847	264	2415	-1
848	264	2432	-1
849	264	2739	-1
850	264	2940	-1
851	264	3017	-1
852	264	3047	-1
853	264	3466	-1
854	368	151	1
855	368	248	1
856	368	451	1
857	368	509	1
858	368	534	1
859	368	635	1
860	368	662	1
861	368	702	1
862	368	780	1
863	368	884	1
864	368	911	1
865	368	1016	1
866	368	1148	1
867	368	1252	1
868	368	1273	1
869	368	608	1
870	368	17	1
871	368	1353	1
872	368	1406	1
873	368	1410	1
874	368	570	1
875	368	578	1
876	368	1524	1
877	368	1546	1
878	368	1239	1
879	368	1653	1
880	368	1788	1
881	368	1802	1
882	368	265	1
883	368	2014	1
884	368	1368	1
885	368	2280	1
886	368	2429	1
887	368	2430	1
888	368	2480	1
889	368	2539	1
890	368	2585	1
