disease_digraph_id	property	value
1	appears_in	Hidalgo2009
2	appears_in	Hidalgo2009
3	appears_in	Hidalgo2009
6	appears_in	Hidalgo2009
7	appears_in	Hidalgo2009
8	appears_in	Hidalgo2009
9	appears_in	Hidalgo2009
10	appears_in	Hidalgo2009
11	appears_in	Hidalgo2009
12	appears_in	Hidalgo2009
13	appears_in	Hidalgo2009
14	appears_in	Hidalgo2009
15	appears_in	Hidalgo2009
17	appears_in	Hidalgo2009
18	appears_in	Hidalgo2009
19	appears_in	Hidalgo2009
20	appears_in	Hidalgo2009
29	appears_in	Hidalgo2009
36	appears_in	Hidalgo2009
37	appears_in	Hidalgo2009
38	appears_in	Hidalgo2009
39	appears_in	Hidalgo2009
40	appears_in	Hidalgo2009
45	appears_in	Hidalgo2009
46	appears_in	Hidalgo2009
48	appears_in	Hidalgo2009
51	appears_in	Hidalgo2009
52	appears_in	Hidalgo2009
53	appears_in	Hidalgo2009
54	appears_in	Hidalgo2009
55	appears_in	Hidalgo2009
56	appears_in	Hidalgo2009
57	appears_in	Hidalgo2009
58	appears_in	Hidalgo2009
59	appears_in	Hidalgo2009
62	appears_in	Hidalgo2009
63	appears_in	Hidalgo2009
64	appears_in	Hidalgo2009
65	appears_in	Hidalgo2009
66	appears_in	Hidalgo2009
67	appears_in	Hidalgo2009
70	appears_in	Hidalgo2009
73	appears_in	Hidalgo2009
78	appears_in	Hidalgo2009
81	appears_in	Hidalgo2009
82	appears_in	Hidalgo2009
85	appears_in	Hidalgo2009
88	appears_in	Hidalgo2009
89	appears_in	Hidalgo2009
90	appears_in	Hidalgo2009
91	appears_in	Hidalgo2009
94	appears_in	Hidalgo2009
95	appears_in	Hidalgo2009
96	appears_in	Hidalgo2009
97	appears_in	Hidalgo2009
98	appears_in	Hidalgo2009
99	appears_in	Hidalgo2009
102	appears_in	Hidalgo2009
103	appears_in	Hidalgo2009
104	appears_in	Hidalgo2009
105	appears_in	Hidalgo2009
106	appears_in	Hidalgo2009
107	appears_in	Hidalgo2009
115	appears_in	Hidalgo2009
118	appears_in	Hidalgo2009
119	appears_in	Hidalgo2009
120	appears_in	Hidalgo2009
121	appears_in	Hidalgo2009
122	appears_in	Hidalgo2009
123	appears_in	Hidalgo2009
124	appears_in	Hidalgo2009
125	appears_in	Hidalgo2009
126	appears_in	Hidalgo2009
127	appears_in	Hidalgo2009
128	appears_in	Hidalgo2009
129	appears_in	Hidalgo2009
130	appears_in	Hidalgo2009
131	appears_in	Hidalgo2009
132	appears_in	Hidalgo2009
133	appears_in	Hidalgo2009
134	appears_in	Hidalgo2009
135	appears_in	Hidalgo2009
136	appears_in	Hidalgo2009
137	appears_in	Hidalgo2009
138	appears_in	Hidalgo2009
139	appears_in	Hidalgo2009
140	appears_in	Hidalgo2009
143	appears_in	Hidalgo2009
144	appears_in	Hidalgo2009
152	appears_in	Hidalgo2009
154	appears_in	Hidalgo2009
155	appears_in	Hidalgo2009
156	appears_in	Hidalgo2009
161	appears_in	Hidalgo2009
162	appears_in	Hidalgo2009
163	appears_in	Hidalgo2009
169	appears_in	Hidalgo2009
170	appears_in	Hidalgo2009
175	appears_in	Hidalgo2009
176	appears_in	Hidalgo2009
177	appears_in	Hidalgo2009
178	appears_in	Hidalgo2009 Jensen2014
180	appears_in	Hidalgo2009
181	appears_in	Hidalgo2009
182	appears_in	Hidalgo2009
183	appears_in	Hidalgo2009
184	appears_in	Hidalgo2009
187	appears_in	Hidalgo2009
190	appears_in	Hidalgo2009
191	appears_in	Hidalgo2009
193	appears_in	Hidalgo2009
195	appears_in	Hidalgo2009
196	appears_in	Hidalgo2009
202	appears_in	Hidalgo2009 Jensen2014
203	appears_in	Hidalgo2009
205	appears_in	Hidalgo2009
208	appears_in	Hidalgo2009
209	appears_in	Hidalgo2009
210	appears_in	Hidalgo2009
211	appears_in	Hidalgo2009
212	appears_in	Hidalgo2009
219	appears_in	Hidalgo2009
220	appears_in	Hidalgo2009
226	appears_in	Hidalgo2009
235	appears_in	Hidalgo2009
236	appears_in	Hidalgo2009
237	appears_in	Hidalgo2009
238	appears_in	Hidalgo2009
240	appears_in	Hidalgo2009
241	appears_in	Hidalgo2009
242	appears_in	Hidalgo2009
246	appears_in	Hidalgo2009
247	appears_in	Hidalgo2009
248	appears_in	Hidalgo2009
249	appears_in	Hidalgo2009
252	appears_in	Hidalgo2009
253	appears_in	Hidalgo2009
255	appears_in	Hidalgo2009
256	appears_in	Hidalgo2009
257	appears_in	Hidalgo2009
258	appears_in	Hidalgo2009
267	appears_in	Hidalgo2009
268	appears_in	Hidalgo2009
275	appears_in	Hidalgo2009
280	appears_in	Hidalgo2009
281	appears_in	Hidalgo2009
282	appears_in	Hidalgo2009
283	appears_in	Hidalgo2009
288	appears_in	Hidalgo2009
289	appears_in	Hidalgo2009
294	appears_in	Hidalgo2009
