id	gene_symbol	ensembl_id	uniprot_id
1	ENAM	ENSG00000132464	Q9NRM1
2	UBQLN2	ENSG00000188021	Q9UHD9
3	ZNF541	ENSG00000118156	Q9H0D2
4	JAKMIP2	ENSG00000176049	Q96AA8
5	AP3B2	ENSG00000103723	Q13367
6	DKFZP434H168	NA	NA
7	NAP1L1	ENSG00000187109	P55209
8	TOLLIP	ENSG00000078902	Q9H0E2
9	RBPJ	ENSG00000168214	
10	YARS	ENSG00000134684	P54577
11	CIB2	ENSG00000136425	O75838
12	GPR3	ENSG00000181773	P46089
13	PARP4	ENSG00000102699	Q9UKK3
14	CDV3	ENSG00000091527	Q9UKY7
15	TCP10	ENSG00000203690	Q12799
16	RBBP8NL	ENSG00000130701	Q8NC74
17	SLC6A8	ENSG00000130821	P48029
18	LOC202025	NA	NA
19	LOC101928087	NA	NA
20	BFSP1	ENSG00000125864	Q12934
21	OLFML1	ENSG00000183801	Q6UWY5
22	VPS25	ENSG00000131475	Q9BRG1
23	TRMT112	ENSG00000173113	
24	ZNF136	ENSG00000196646	
25	CLGN	ENSG00000153132	O14967
26	YIPF4	ENSG00000119820	Q9BSR8
27	FAM131A	ENSG00000175182	Q6UXB0
28	SOX11	ENSG00000176887	P35716
29	LIPE	ENSG00000079435	Q05469
30	MARCH1	ENSG00000145416	Q8TCQ1
31	BOD1	ENSG00000145919	Q96IK1
32	COL4A2	ENSG00000134871	
33	GRM5	ENSG00000168959	P41594
34	GFRA2	ENSG00000168546	O00451
35	BOLA2	ENSG00000183336	
36	FCGRT	ENSG00000104870	P55899
37	RPRD1B	ENSG00000101413	Q9NQG5
38	HLA-DOA	ENSG00000232962	P06340
39	HAUS2	ENSG00000137814	Q9NVX0
40	CGGBP1	ENSG00000163320	Q9UFW8
41	ZNF223	ENSG00000178386	Q9UK11
42	SMIM20	ENSG00000250317	Q8N5G0
43	DHH	ENSG00000139549	O43323
44	IGKC	ENSG00000211592	
45	LINC01214	NA	NA
46	UHMK1	ENSG00000152332	Q8TAS1
47	RAD51C	ENSG00000108384	
48	GRAMD4	ENSG00000075240	
49	MRPL20	ENSG00000242485	Q9BYC9
50	SHISA6	ENSG00000188803	Q6ZSJ9
51	PIBF1	ENSG00000083535	Q8WXW3
52	AGRN	ENSG00000188157	O00468
53	LINC01558	NA	NA
54	MZT1	ENSG00000204899	Q08AG7
55	AFF2	ENSG00000155966	P51816
56	ADAM23	ENSG00000114948	O75077
57	LINC01553	NA	NA
58	KLKB1	ENSG00000164344	
59	DNAJC28	ENSG00000262911	Q9NX36
60	KIAA1024	ENSG00000169330	Q9UPX6
61	VAV3	ENSG00000134215	Q9UKW4
62	ASPH	ENSG00000198363	Q12797
63	ICK	ENSG00000112144	Q9UPZ9
64	DCBLD1	ENSG00000164465	Q8N8Z6
65	CCT5	ENSG00000150753	P48643
66	MEF2C-AS1	NA	NA
67	PCBP4	ENSG00000090097	P57723
68	TMOD2	ENSG00000128872	Q9NZR1
69	PCDH18	ENSG00000189184	Q9HCL0
70	MUC3B	NA	NA
71	CSF3	ENSG00000108342	
72	BHLHE41	ENSG00000123095	Q9C0J9
73	NTN3	ENSG00000162068	O00634
74	SOX15	ENSG00000129194	O60248
75	CMTM3	ENSG00000140931	
76	OSBPL2	ENSG00000130703	
77	NVL	ENSG00000143748	
78	LRRC8D	ENSG00000171492	
79	KRT8	ENSG00000170421	P05787
80	NPCDR1	NA	NA
81	ITIH5	ENSG00000123243	
82	AKTIP	ENSG00000166971	Q9H8T0
83	MYH6	ENSG00000197616	P13533
84	LYZ	ENSG00000090382	P61626
85	FAM186B	ENSG00000135436	
86	TIE1	ENSG00000066056	P35590
87	LDHC	ENSG00000166796	P07864
88	ITSN1	ENSG00000205726	Q15811
89	FAXC	ENSG00000146267	Q5TGI0
90	CAND1	ENSG00000111530	Q86VP6
91	GBX1	ENSG00000164900	Q14549
92	ZNF670	ENSG00000277462	Q9BS34
93	TPSB2	ENSG00000197253	
94	MATN4	ENSG00000124159	O95460
95	LOC105373942	NA	NA
96	CYP4A11	ENSG00000187048	Q02928
97	TREM1	ENSG00000124731	
98	NTN5	ENSG00000142233	Q8WTR8
99	MROH6	ENSG00000204839	A6NGR9
100	CPNE8	ENSG00000139117	Q86YQ8
101	C5AR1	ENSG00000197405	
102	KIR2DL1	ENSG00000278821	
103	ACOT8	ENSG00000101473	O14734
104	CABLES2	ENSG00000149679	Q9BTV7
105	AMPD3	ENSG00000133805	
106	FTCD	ENSG00000281775	
107	SERPINB3	ENSG00000057149	P29508
108	CNR2	ENSG00000188822	P34972
109	PIK3CA	ENSG00000121879	
110	CD27	ENSG00000139193	P26842
111	LINC00951	NA	NA
112	PCDHGB8P	NA	NA
113	PRSS58	ENSG00000258223	Q8IYP2
114	IGFBP5	ENSG00000115461	P24593
115	LOC400684	NA	NA
116	AGPAT4-IT1	NA	NA
117	BNIP1	ENSG00000113734	Q12981
118	PGAP2	ENSG00000148985	
119	DHX38	ENSG00000140829	Q92620
120	CXCL9	ENSG00000138755	Q07325
121	CNTD1	ENSG00000176563	Q8N815
122	LINC01361	NA	NA
123	DAPL1	ENSG00000163331	A0PJW8
124	TOX2	ENSG00000124191	Q96NM4
125	ARSE	ENSG00000157399	P51690
126	DIP2B	ENSG00000066084	Q9P265
127	C1orf162	ENSG00000143110	Q8NEQ5
128	ACTG2	ENSG00000163017	
129	TMEM98	ENSG00000006042	Q9Y2Y6
130	LOC105378382	NA	NA
131	HELQ	ENSG00000163312	
132	LOC57399	NA	NA
133	HOXB8	ENSG00000120068	
134	CEND1	ENSG00000184524	Q8N111
135	WNT1	ENSG00000125084	P04628
136	EMB	ENSG00000170571	Q6PCB8
137	KCNJ4	ENSG00000168135	P48050
138	HEXA-AS1	NA	NA
139	ALMS1	ENSG00000116127	
140	ITIH4	ENSG00000055955	Q14624
141	LRRC4	ENSG00000128594	Q9HBW1
142	ENY2	ENSG00000120533	
143	TST	ENSG00000128311	Q16762
144	AGAP9	ENSG00000204172	Q5VTM2
145	ELAC1	ENSG00000141642	
146	THSD4	ENSG00000187720	Q6ZMP0
147	ANXA11	ENSG00000122359	P50995
148	FOXK1	ENSG00000164916	P85037
149	ARFGAP2	ENSG00000149182	Q8N6H7
150	ZFP1	ENSG00000184517	Q6P2D0
151	CRYGC	ENSG00000163254	P07315
152	GATA2	ENSG00000179348	P23769
153	C11orf54	ENSG00000182919	Q9H0W9
154	HOXB2	ENSG00000173917	P14652
155	MYO1F	ENSG00000142347	O00160
156	CNTN6	ENSG00000134115	Q9UQ52
157	C21orf91-OT1	NA	NA
158	LACTB2	ENSG00000147592	Q53H82
159	HIST1H2BD	ENSG00000158373	P58876
160	SCARA5	ENSG00000168079	Q6ZMJ2
161	NARS2	ENSG00000137513	Q96I59
162	CAPN9	ENSG00000135773	O14815
163	NMI	ENSG00000123609	Q13287
164	CXCR5	ENSG00000160683	P32302
165	TXK	ENSG00000074966	P42681
166	UPP1	ENSG00000183696	
167	SHOX	ENSG00000185960	O15266
168	AHRR	ENSG00000063438	A9YTQ3
169	C3AR1	ENSG00000171860	Q16581
170	CENPBD1	ENSG00000177946	B2RD01
171	NT5C3B	ENSG00000141698	
172	GPR160	ENSG00000173890	Q9UJ42
173	USP35	ENSG00000118369	
174	PIK3CG	ENSG00000105851	P48736
175	HNRNPH3	ENSG00000096746	P31942
176	RTF1	ENSG00000137815	Q92541
177	KLF5	ENSG00000102554	Q13887
178	IL17D	ENSG00000172458	
179	RNF11	ENSG00000123091	Q9Y3C5
180	SP7	ENSG00000170374	Q8TDD2
181	ZNF492	ENSG00000229676	Q9P255
182	CDH13	ENSG00000140945	P55290
183	TTLL9	ENSG00000131044	Q3SXZ7
184	SLC7A11	ENSG00000151012	Q9UPY5
185	TAS2R4	ENSG00000127364	Q9NYW5
186	FCAR	ENSG00000278415	
187	RFPL3	ENSG00000128276	O75679
188	BUD13	ENSG00000137656	
189	POLR1A	ENSG00000068654	O95602
190	ORC3	ENSG00000135336	Q9UBD5
191	FDCSP	ENSG00000181617	Q8NFU4
192	FUT10	ENSG00000172728	Q6P4F1
193	FRMD6-AS1	NA	NA
194	ARID4A	ENSG00000032219	P29374
195	KRT38	ENSG00000171360	O76015
196	PIGC	ENSG00000135845	Q92535
197	SLC1A7	ENSG00000162383	O00341
198	VOPP1	ENSG00000154978	Q96AW1
199	COBLL1	ENSG00000082438	Q53SF7
200	WWC3	ENSG00000047644	Q9ULE0
201	RAMP3	ENSG00000122679	O60896
202	SART1	ENSG00000175467	O43290
203	PYROXD1	ENSG00000121350	
204	GPM6A	ENSG00000150625	P51674
205	INO80B	ENSG00000115274	Q9C086
206	PMS2P3	NA	NA
207	PRELID3A	ENSG00000141391	
208	TSPO2	ENSG00000112212	Q5TGU0
209	SLC1A1	ENSG00000106688	P43005
210	ARHGAP5	ENSG00000100852	
211	TOR3A	ENSG00000186283	Q9H497
212	NR1H3	ENSG00000025434	Q13133
213	USF1	ENSG00000158773	P22415
214	SYCE1	ENSG00000171772	Q8N0S2
215	ZFP69B	ENSG00000187801	
216	BSPRY	ENSG00000119411	Q5W0U4
217	MGST1	ENSG00000008394	
218	NAT10	ENSG00000135372	Q9H0A0
219	IFRD2	ENSG00000214706	Q12894
220	GATAD1	ENSG00000157259	Q8WUU5
221	COG7	ENSG00000168434	P83436
222	POMC	ENSG00000115138	P01189
223	KRT33B	ENSG00000263012	Q14525
224	ALK	ENSG00000171094	
