id	name	disease_id
1	Acne.NS	1
2	ActiveHemophagocyticLymphohistiocytosis.2	2
3	ActiveHemophagocyticLymphohistiocytosis^^Cluster_of_size_1_1	2
4	ActiveHemophagocyticLymphohistiocytosis.3	2
5	AcuteAtopicDermatitis.1	3
6	AcuteAtopicDermatitis.2	3
7	AcuteMyeloidLeukemia.NS	4
8	AcuteMyocardialInfarction.1	5
9	AcuteMyocardialInfarction.3	5
10	AcuteMyocardialInfarction.4	5
11	AcuteMyocardialInfarction.2	5
12	AdrenocorticalCarcinoma.2	6
13	AdrenocorticalCarcinoma.1	6
14	AdultTcellLeukemia.NS	7
15	Ageing.2	8
16	Ageing.1	8
17	AlcoholicHepatitis.NS	9
18	Alopecia.NS	10
19	AlzheimersDisease.5	11
20	AlzheimersDisease.6	11
21	AlzheimersDisease.4	11
22	AlzheimersDisease.8	11
23	AlzheimersDisease.11	11
24	AlzheimersDisease.19	11
25	AlzheimersDisease.13	11
26	AlzheimersDisease.12	11
27	AlzheimersDisease.15	11
28	AlzheimersDisease.17	11
29	AlzheimersDisease.2	11
30	AlzheimersDisease.1	11
31	AlzheimersDisease.21	11
32	AlzheimersDisease.16	11
33	AlzheimersDisease.23	11
34	AlzheimersDisease.3	11
35	AlzheimersDisease.24	11
36	AlzheimersDisease.22	11
37	AlzheimersDisease.18	11
38	AlzheimersDisease.9	11
39	AlzheimersDisease.20	11
40	AlzheimersDisease.7	11
41	AlzheimersDisease.10	11
42	AlzheimersDisease.14	11
43	AmyotrophicLateralSclerosis.NS	12
44	ANCACrescenticGlomerulonephritis.NS	13
45	AphthousStomatitis.NS	14
46	ArrhythmogenicRightVentricularCardiomyopathy.7	15
47	ArrhythmogenicRightVentricularCardiomyopathy.4	15
48	ArrhythmogenicRightVentricularCardiomyopathy.1	15
49	ArrhythmogenicRightVentricularCardiomyopathy^^Cluster_of_size_1_1	15
50	ArrhythmogenicRightVentricularCardiomyopathy^^Cluster_of_size_1_2	15
51	ArrhythmogenicRightVentricularCardiomyopathy.3	15
52	ArrhythmogenicRightVentricularCardiomyopathy.6	15
53	Asthma.25	16
54	Asthma.57	16
55	Asthma^^Cluster_of_size_1_1	16
56	Asthma.7	16
57	Asthma.30	16
58	Asthma.12	16
59	Asthma.8	16
60	Asthma.52	16
61	Asthma.48	16
62	Asthma.23	16
63	Asthma.56	16
64	Asthma.58	16
65	Asthma.38	16
66	Asthma.32	16
67	Asthma.3	16
68	Asthma.62	16
69	Asthma.15	16
70	Asthma.43	16
71	Asthma.14	16
72	Asthma.31	16
73	Asthma.28	16
74	Asthma.20	16
75	Asthma.49	16
76	Asthma.22	16
77	Asthma^^Cluster_of_size_1_2	16
78	Asthma.16	16
79	Asthma.10	16
80	Asthma.42	16
81	Asthma.18	16
82	Asthma.50	16
83	Asthma.63	16
84	Asthma.60	16
85	Asthma.19	16
86	Asthma.4	16
87	Asthma.6	16
88	Asthma.1	16
89	Asthma.47	16
90	Asthma.2	16
91	Asthma^^Cluster_of_size_1_3	16
92	Asthma.37	16
93	Asthma.13	16
94	Asthma.59	16
95	Asthma.21	16
96	Asthma.34	16
97	Asthma.46	16
98	Asthma.45	16
99	Asthma.26	16
100	Asthma.27	16
101	Asthma.33	16
102	Asthma.39	16
103	Asthma.9	16
104	Asthma.36	16
105	Asthma.35	16
106	Asthma.51	16
107	Asthma.54	16
108	Asthma.55	16
109	Asthma.24	16
110	Asthma.40	16
111	Asthma.44	16
112	Asthma.29	16
113	Asthma.11	16
114	Asthma^^Cluster_of_size_1_4	16
115	Asthma.5	16
116	Astrocytoma^^Cluster_of_size_1_1	17
117	Astrocytoma.23	17
118	Astrocytoma.2	17
119	Astrocytoma.8	17
120	Astrocytoma.15	17
121	Astrocytoma.22	17
122	Astrocytoma.7	17
123	Astrocytoma.30	17
124	Astrocytoma.6	17
125	Astrocytoma.11	17
126	Astrocytoma.10	17
127	Astrocytoma.39	17
128	Astrocytoma.38	17
129	Astrocytoma.34	17
130	Astrocytoma.26	17
131	Astrocytoma.1	17
132	Astrocytoma.12	17
133	Astrocytoma.42	17
134	Astrocytoma.36	17
135	Astrocytoma.28	17
136	Astrocytoma.21	17
137	Astrocytoma.24	17
138	Astrocytoma.19	17
139	Astrocytoma^^Cluster_of_size_1_2	17
140	Astrocytoma^^Cluster_of_size_1_3	17
141	Astrocytoma.16	17
142	Astrocytoma.37	17
143	Astrocytoma^^Cluster_of_size_1_4	17
144	Astrocytoma.13	17
145	Astrocytoma.33	17
146	Astrocytoma.40	17
147	Astrocytoma.43	17
148	Astrocytoma.27	17
149	Astrocytoma^^Cluster_of_size_1_5	17
150	Astrocytoma^^Cluster_of_size_1_6	17
151	Astrocytoma.5	17
152	Astrocytoma.18	17
153	Astrocytoma.41	17
154	Astrocytoma.9	17
155	Astrocytoma.35	17
156	Astrocytoma.14	17
157	Astrocytoma^^Cluster_of_size_1_7	17
158	Astrocytoma^^Cluster_of_size_1_8	17
159	AtopicDermatitis.1	18
160	AtopicDermatitis.2	18
161	AtrialFibrillation.4	19
162	AtrialFibrillation.2	19
163	AtrialFibrillation.3	19
164	AtrialFibrillation.1	19
165	Autism.6	20
166	Autism.14	20
167	Autism.4	20
168	Autism.5	20
169	Autism.23	20
170	Autism.13	20
171	Autism.24	20
172	Autism.17	20
173	Autism.22	20
174	Autism.3	20
175	Autism.15	20
176	Autism.10	20
177	Autism.25	20
178	Autism.8	20
179	Autism.16	20
180	Autism.9	20
181	Autism.19	20
182	Autism.11	20
183	Autism.20	20
184	Autism.21	20
185	Autism.12	20
186	Autism.26	20
187	Autism.2	20
188	Autism.7	20
189	Autism.1	20
190	Autism.18	20
191	AutosomalDominantMonocytopenia.4	21
192	AutosomalDominantMonocytopenia^^Cluster_of_size_1_1	21
193	AutosomalDominantMonocytopenia.3	21
194	AutosomalDominantMonocytopenia.5	21
195	AutosomalDominantMonocytopenia^^Cluster_of_size_1_2	21
196	AxialSpondyloarthropathy.1	22
197	AxialSpondyloarthropathy.2	22
198	AxialSpondyloarthropathy.4	22
199	AxialSpondyloarthropathy.3	22
200	AxialSpondyloarthropathy.5	22
201	BasaloidLungCancer.1	23
202	BasaloidLungCancer.3	23
203	BasaloidLungCancer.2	23
204	BehcetsDisease.4	24
205	BehcetsDisease.1	24
206	BehcetsDisease.2	24
207	BehcetsDisease.5	24
208	BehcetsDisease.3	24
209	BehcetsDisease.6	24
210	BladderCarcinoma.1	25
211	BladderCarcinoma.2	25
212	BreastCancer.NS	26
213	CampylobacterJenuniInfection.4	27
214	CampylobacterJenuniInfection.6	27
215	CampylobacterJenuniInfection.5	27
216	CampylobacterJenuniInfection^^Cluster_of_size_1_1	27
217	CampylobacterJenuniInfection.3	27
218	CampylobacterJenuniInfection.1	27
219	CardioembolicStroke.23	28
220	CardioembolicStroke^^Cluster_of_size_1_1	28
221	CardioembolicStroke^^Cluster_of_size_1_2	28
222	CardioembolicStroke.24	28
223	CardioembolicStroke^^Cluster_of_size_1_3	28
224	CardioembolicStroke.16	28
225	CardioembolicStroke.12	28
226	CardioembolicStroke.11	28
227	CardioembolicStroke.5	28
228	CardioembolicStroke.13	28
229	CardioembolicStroke.8	28
230	CardioembolicStroke.3	28
231	CardioembolicStroke.15	28
232	CardioembolicStroke.7	28
233	CardioembolicStroke.25	28
234	CardioembolicStroke.19	28
235	CardioembolicStroke.14	28
236	CardioembolicStroke^^Cluster_of_size_1_4	28
237	CardioembolicStroke.2	28
238	CardioembolicStroke.4	28
239	CardioembolicStroke.20	28
240	CardioembolicStroke.17	28
241	CardioembolicStroke.18	28
242	CardioembolicStroke.21	28
243	CardioembolicStroke.1	28
244	CardioembolicStroke^^Cluster_of_size_1_5	28
245	CdLS.1	29
246	CdLS.5	29
247	CdLS.2	29
248	CdLS.3	29
249	CdLS.4	29
250	CervicalCancer.NS	30
251	Choroideremia.2	31
252	Choroideremia.1	31
253	Choroideremia.3	31
254	ChronicAtopicDermatitis.NS	32
255	ChronicLymphocytisLeukemia.NS	33
256	ChronicObstructivePulmonaryDisease.12	34
257	ChronicObstructivePulmonaryDisease.13	34
258	ChronicObstructivePulmonaryDisease.17	34
259	ChronicObstructivePulmonaryDisease.8	34
260	ChronicObstructivePulmonaryDisease.36	34
261	ChronicObstructivePulmonaryDisease.18	34
262	ChronicObstructivePulmonaryDisease.30	34
263	ChronicObstructivePulmonaryDisease.5	34
264	ChronicObstructivePulmonaryDisease.25	34
265	ChronicObstructivePulmonaryDisease.16	34
266	ChronicObstructivePulmonaryDisease.10	34
267	ChronicObstructivePulmonaryDisease.34	34
268	ChronicObstructivePulmonaryDisease.19	34
269	ChronicObstructivePulmonaryDisease.31	34
270	ChronicObstructivePulmonaryDisease.4	34
271	ChronicObstructivePulmonaryDisease.33	34
272	ChronicObstructivePulmonaryDisease.29	34
273	ChronicObstructivePulmonaryDisease.11	34
274	ChronicObstructivePulmonaryDisease.1	34
275	ChronicObstructivePulmonaryDisease.24	34
276	ChronicObstructivePulmonaryDisease.15	34
277	ChronicObstructivePulmonaryDisease.21	34
278	ChronicObstructivePulmonaryDisease.23	34
279	ChronicObstructivePulmonaryDisease.35	34
280	ChronicObstructivePulmonaryDisease.20	34
281	ChronicObstructivePulmonaryDisease.27	34
282	ChronicObstructivePulmonaryDisease.3	34
283	ChronicObstructivePulmonaryDisease.6	34
284	ChronicObstructivePulmonaryDisease.32	34
285	ChronicObstructivePulmonaryDisease.22	34
286	ChronicObstructivePulmonaryDisease.28	34
287	ChronicObstructivePulmonaryDisease.9	34
288	ChronicObstructivePulmonaryDisease.2	34
289	ChronicObstructivePulmonaryDisease.7	34
290	ChronicObstructivePulmonaryDisease.14	34
291	ChronicObstructivePulmonaryDisease.26	34
292	ChronicRhinosinusitis.2	35
293	ChronicRhinosinusitis.1	35
294	ChronicRhinosinusitis.4	35
295	ChronicRhinosinusitis.5	35
296	ChronicRhinosinusitis.3	35
297	CoenzymeQdeficiency.1	36
298	CoenzymeQdeficiency.3	36
299	CoenzymeQdeficiency.4	36
300	CoenzymeQdeficiency.2	36
301	ColorectalCancer.2	37
302	ColorectalCancer.4	37
303	ColorectalCancer.6	37
304	ColorectalCancer.5	37
305	ColorectalCancer.3	37
306	ColorectalCancer.1	37
307	CrohnsDisease.2	38
308	CrohnsDisease.1	38
309	Sarcoidosis.NS	39
310	DenguePrimary.1	40
311	DenguePrimary.2	40
312	Dermatomyositis.2	41
313	Dermatomyositis.1	41
314	DuctalBreastCancer.NS	42
315	Endometriosis.36	43
316	Endometriosis.6	43
317	Endometriosis.3	43
318	Endometriosis.16	43
319	Endometriosis.13	43
320	Endometriosis.32	43
321	Endometriosis.12	43
322	Endometriosis.33	43
323	Endometriosis.34	43
324	Endometriosis.18	43
325	Endometriosis.25	43
326	Endometriosis.17	43
327	Endometriosis.30	43
328	Endometriosis.7	43
329	Endometriosis.20	43
330	Endometriosis.10	43
331	Endometriosis.11	43
332	Endometriosis.31	43
333	Endometriosis.27	43
334	Endometriosis.2	43
335	Endometriosis.8	43
336	Endometriosis^^Cluster_of_size_1_1	43
337	Endometriosis.35	43
338	Endometriosis^^Cluster_of_size_1_2	43
339	Endometriosis.14	43
340	Endometriosis.24	43
341	Endometriosis.26	43
342	Endometriosis.22	43
343	Endometriosis.9	43
344	Endometriosis.37	43
345	Endometriosis^^Cluster_of_size_1_3	43
346	Endometriosis.5	43
347	Endometriosis.40	43
348	Endometriosis.29	43
349	Endometriosis.39	43
350	Endometriosis.15	43
351	Endometriosis.28	43
352	Endometriosis.1	43
353	Endometriosis.21	43
354	Endometriosis.19	43
355	Ependymoma.1	44
